model,annotation_PGS_n_snp,complement_PGS_n_snp,matched_PGS_n_snp
consPrimates_UCE,339,302054,1665
LinAR_Catarrhini,124,302071,115
LinAR_Hominidae,132,302070,192
LinAR_Homininae,130,302069,161
LinAR_Hominoidea,81,302070,121
LinAR_Human,977,302048,892
LinAR_Simiformes,146,302069,210
human_chimp_div_DMG,29706,283053,21895
HAR,1328,302047,1125
HAQER,1763,302035,1752
ancient_human_selective_sweep,3628,301608,4445
