species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,species_class,group_living,brain_mass_g,adult_body_mass_g,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk,HAQER_sequence_similarity,HAR_sequence_similarity
Mus_caroli,Ryukyu mouse,non_vocal_learner,0,Non-primates,NA,NA,NA,1.2,14.26,-2.074923330746657,37.12068660947793,80.54984742200689
Mus_musculus,House mouse,non_vocal_learner,0,Non-primates,NA,0.4,15.1,1.06,19.3,-2.2906791418427166,37.11667359952656,80.54440554432226
Mus_spretus,Western mediterranean mouse,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,36.95928119327462,80.4732900881596
Rattus_norvegicus,Brown rat,non_vocal_learner,0,Non-primates,1,8.03,359.5,5.8,282.89,-1.0041864698450291,36.84012321649205,79.70531637801945
Cricetomys_gambianus,Gambian pouched rat,non_vocal_learner,0,Non-primates,0,6.57,1150,22.68,1267.52,-0.4507584073279567,39.477147371504245,81.47588169125918
Nannospalax_galili,Upper galilee mountains blind mole rat,non_vocal_learner,0,Non-primates,0,NA,NA,NA,NA,NA,40.46529127735624,82.55529351880467
Aplodontia_rufa,Mountain beaver,non_vocal_learner,0,Non-primates,0,7.04,806,23.12,806.21,-0.3078288249663054,44.465546916730965,85.18975907058649
Glis_glis,Edible dormouse,non_vocal_learner,0,Non-primates,NA,1.9,148,NA,NA,NA,47.67298323024596,86.31884410426461
Graphiurus_murinus,Woodland doormouse,non_vocal_learner,0,Non-primates,0,NA,NA,3.49,20.07,-0.539606586657566,46.18594179249375,85.74367265390353
Muscardinus_avellanarius,Hazel dormouse,non_vocal_learner,0,Non-primates,0,NA,NA,0.8,29.19,-2.669175925288667,44.42694056733566,84.48740842719235
Ictidomys_tridecemlineatus,Thirteen-lined ground squirrel,non_vocal_learner,0,Non-primates,0,NA,NA,NA,NA,NA,44.84243928392788,86.09882012054165
Marmota_marmota,Alpine marmot,non_vocal_learner,0,Non-primates,NA,14.25,3813.65,29.74,4059.15,-0.5768136484595461,45.11917156766187,86.08151644441232
Spermophilus_dauricus,Daurian ground squirrel,non_vocal_learner,0,Non-primates,NA,2.75,223.8,NA,NA,NA,44.998818716504395,85.90387104172468
Xerus_inauris,Cape ground squirrel,non_vocal_learner,0,Non-primates,1,7.65,400,20,572.6,-0.2969896168723445,46.36381809700927,86.56662690601597
Tupaia_chinensis,Northern tree shrew,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,49.59864581941289,87.10159346197919
Antilocapra_americana,Pronghorn,non_vocal_learner,0,Non-primates,1,125.6,46750,3454.7,47450.01,0.959563771300237,47.705744214886934,86.02078032512439
Beatragus_hunteri,Hirola,non_vocal_learner,0,Non-primates,NA,NA,NA,8350,79132.17,1.15331923425777,47.65724881666911,85.8984474273005
Pantholops_hodgsonii,Chiru,non_vocal_learner,0,Non-primates,0,NA,NA,NA,NA,NA,47.24659262749026,85.8417682502436
Saiga_tatarica,Steppe saiga,non_vocal_learner,0,Non-primates,NA,NA,NA,3326.46,37734.01,1.016285096453985,46.86914330931656,84.40698950165579
Bison_bison,Bison,non_vocal_learner,0,Non-primates,NA,458,431500,20000,624577.07,0.8953635249221579,47.7747093118149,86.26736585729552
Bos_indicus,Zebu cattle,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,47.69281746817974,86.14058286392553
Bos_mutus,Wild yak,non_vocal_learner,0,Non-primates,0,NA,NA,NA,NA,NA,47.77297346799937,86.19726050982197
Bos_taurus,Cattle,non_vocal_learner,0,Non-primates,NA,452.8,46100,NA,NA,NA,47.960371066197744,86.03621650436895
