IID,f_HAQERs,f_HARs,f_RAND,f_HAQERs_matched
sample220,-0.3292,-0.1061,-0.03489,-0.01277
sample221,-0.2999,-0.05498,-0.02354,-0.00368
sample222,-0.3049,-0.03793,-0.04245,0.006708
sample224,-0.2971,-0.05285,-0.06516,0.02748
sample225,-0.3053,0.008956,-0.04435,0.008006
sample226,-0.3127,-0.0699,-0.004616,0.004111
sample227,-0.2901,-0.07843,0.008628,0.02258
sample229,-0.2956,-0.01875,-0.01218,-0.01537
sample23,-0.2791,0.002562,-0.03489,0.005409
sample230,-0.2443,-0.02301,0.0143,0.0106
sample231,-0.2472,0.05371,0.02187,-0.01926
sample232,-0.2664,-0.02941,-0.0276,0.009305
sample233,-0.3048,-0.02728,-0.02136,-0.04909
sample234,-0.3169,-0.0358,-0.03867,0.06254
sample235,-0.262,-0.09335,-0.01218,0.01969
sample236,-0.3058,-0.01236,-0.006508,0.0119
sample237,-0.2777,-0.02301,-0.05381,-0.01537
sample238,-0.3044,0.008956,-0.006508,-0.04133
sample239,-0.3159,-0.02088,-0.04624,0.03527
sample240,-0.307,-0.05925,-8.319e-4,0.008006
sample241,-0.2887,-0.01023,0.008628,-0.01796
sample242,-0.2731,-0.01236,0.04457,0.006708
sample243,-0.2873,-0.03367,-0.006508,0.005409
sample244,-0.2751,-0.06564,-0.02921,0.006345
sample245,-0.3286,-0.09761,-0.02164,0.02618
sample246,-0.2957,-0.05285,-0.0084,-0.02835
sample247,-0.2686,-0.03154,-0.03572,-0.01666
sample25,-0.2742,-0.04006,-0.04056,0.0145
sample259,-0.3219,-0.04859,-0.002724,-0.02705
sample26,-0.2641,0.02387,0.02944,0.0132
sample260,-0.239,-0.005963,0.02376,-0.01537
sample261,-0.305,-0.01236,0.0143,-0.04263
sample262,-0.2231,-0.09335,-0.06327,0.05605
sample263,-0.2597,-0.03793,-0.02354,0.02721
sample264,-0.2824,0.02387,-0.02354,-0.01834
sample265,-0.3035,-0.05285,-0.0784,0.01554
sample266,-0.2868,-0.07843,0.04457,-0.01147
sample267,-0.3104,-0.04006,-0.03678,-0.01926
sample268,-0.2759,-0.04433,-0.03489,-0.02316
sample269,-0.2892,0.0143,-0.04435,-0.01926
sample27,-0.3025,-0.04859,0.0162,-0.001083
sample270,-0.2723,-0.01662,-0.07296,0.02229
sample271,-0.3565,-0.08695,-0.04245,-0.01291
sample272,-0.2743,-0.09761,0.04079,-0.02186
sample273,-0.2704,-0.06777,-0.01029,-0.05562
sample274,-0.3227,0.02174,-0.06327,-0.06081
sample275,-0.3172,-0.01875,0.01809,0.0132
sample276,-0.3025,0.03027,-0.05381,0.02489
sample277,-0.2725,-0.07416,0.04149,-0.04653
sample279,-0.2912,0.01109,0.02755,2.156e-4
sample28,-0.3009,0.01748,-0.002724,-0.02186
sample280,-0.2492,0.006824,-0.0311,0.08591
sample281,-0.3262,-0.0763,-0.05759,0.002812
sample282,-0.3235,-0.02728,-0.06894,-0.004978
sample284,-0.2608,0.02601,-0.003673,0.03008
sample285,-0.3114,-0.01236,-0.02164,0.004111
sample286,-0.2786,0.01109,-0.05134,-0.0142
sample287,-0.2785,-0.05285,-0.09354,-0.06488
sample288,-0.2824,-0.08908,-0.05785,-0.03224
sample289,-0.3424,-0.03793,-0.01305,-0.04813
