IID,cp_pgs.HAQER,cp_pgs.background_HAQER
HG00096,-1.563260629154527,-2.019599478436677
HG00097,0.3630988821708199,1.9252124958834516
HG00099,0.6208450876336276,-0.02526300943752684
HG00100,-0.8773991219514224,-0.6725344570154536
HG00101,-0.5677503506006817,-0.1416682713511843
HG00102,1.675415080661955,2.037014229023261
HG00103,-0.02325697077378158,-1.3368256273196888
HG00105,0.5876713325686371,-1.629892123622177
HG00106,-0.9403711240790752,-0.5690048288701136
HG00107,-0.1831173123710287,-0.02237558150557979
HG00108,-1.0902682491575255,0.02267200699106933
HG00109,0.15849756093074102,1.7852793290090605
HG00110,0.23538169434037332,-0.5074282062892703
HG00111,0.3336586181770746,-0.5894530496246465
HG00112,0.3946122200891122,0.3333283753184936
HG00113,-0.7049684002369323,0.8328186200319113
HG00114,0.7379160122974294,1.5902297577010198
HG00115,-0.7094110899223438,-0.8577652922093545
HG00116,-1.4827390140750611,-1.2819146173683376
HG00117,-0.5546741369862541,0.8495945449872043
HG00118,-0.6686809136677694,-3.335878426149714e-4
HG00119,-1.1794022423052433,-1.1236010833085812
HG00120,-2.1835667343237537,-0.4790861492617371
HG00121,0.33223144564768703,1.7440453613008484
HG00122,-0.798434404703813,0.7012407447971827
HG00123,0.6986341825170586,-0.17737539020084048
HG00125,-0.5616131093348742,1.52036917975103
HG00126,0.03590595647353654,0.12499379374160548
HG00127,-1.0107345754286858,0.49408865034568217
HG00128,0.7426278916490925,-0.5045186908329208
HG00129,0.1781674488968922,0.8838870580018402
HG00130,0.6946084647662092,-0.6236926201522588
HG00131,0.9619702715046936,0.1420380705205647
HG00132,-0.8803012256039131,1.0932036077756324
HG00133,-1.097883376067496,-0.7385691441817007
HG00136,1.072245657362825,-0.15765863911390915
HG00137,0.8213157891024159,-0.01995926223439173
HG00138,-0.17605342478398847,-0.2596737701178543
HG00139,-0.3982226352828861,1.3581279452281574
HG00140,-0.9333627007542028,-0.972741063107801
HG00141,-0.981396758421364,-0.8100130031651158
HG00142,0.6576217892891738,-1.7338693368494782
HG00143,-0.226038701395294,-0.1410335503278852
HG00145,1.106729476470626,-0.5260954247824519
HG00146,-1.2441248104017677,0.5299245131179713
HG00148,-0.24062414832705684,-0.944892983507229
HG00149,-0.9515280104760688,1.08738406314326
HG00150,2.182924741936673,-0.6177203799389122
HG00151,1.3680717937980142,-0.02124407631143418
HG00154,-1.5449651971201246,1.9393299570743985
HG00155,0.05920507206819534,0.43147999813811994
HG00157,-2.345970699098757,0.6020048607130936
HG00158,-0.17525680916738054,-0.4817548155325932
