species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Jaculus_jaculus,Lesser egyptian jerboa,non_vocal_learner,0,0,1.53,64.2,0.10217861781352072,6.4,38,2,90693,229037,39.59753227644442,484188,598885,80.84824298488023,-1.4826046912857676,-1.2905495137547556,2,59.8,-1.6302739760868927
Zapus_hudsonius,Meadow jumping mouse,non_vocal_learner,0,NA,0.55,17.47,-0.20899846522855536,5,19,0.8,92005,230289,39.95197338995784,485363,600160,80.87226739536123,-1.4001992976006954,-1.2822417891979925,0.78,18.43,-2.753522750292088
Ellobius_lutescens,Transcaucasian mole vole,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,85087,228747,37.19699056162485,472165,599211,78.7977857549344,-2.040715975572918,-1.9996047430301176,NA,NA,NA
Ellobius_talpinus,Northern mole vole,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,88207,232398,37.95514591347602,475200,601389,79.01707547028629,-1.8644494876803572,-1.923773598090473,NA,NA,NA
Microtus_ochrogaster,Prairie vole,non_vocal_learner,0,0,0.71,43.8,-0.09061468001785658,3,23,3.02,85276,227540,37.477366616858575,474278,596731,79.47936339824813,-1.9755302554898908,-1.7639128275437632,2.94,42.5,-1.1090759185999923
Ondatra_zibethicus,Muskrat,non_vocal_learner,0,0,5.03,1136.45,0.22960446027821144,10,26,21.955,89588,236197,37.92935558029949,477741,602872,79.24418450350986,-1.8704455825961355,-1.8452385058822351,21.99,991.31,-0.4018648321701133
Cricetulus_griseus,Chinese hamster,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,87242,230499,37.84918806589182,481782,601605,80.0827785673324,-1.8890840399693023,-1.5552497670250212,NA,NA,NA
Mesocricetus_auratus,Golden hamster,non_vocal_learner,0,0,1,120,0,4,16,2.33,82609,221823,37.24095337273411,463632,587042,78.97765406904446,-2.030494890549654,-1.9374056555104744,2.35,98.6,-1.5567494901419483
Onychomys_torridus,Scorpion mouse,non_vocal_learner,0,0,0.59,20.02,-0.17606939222257356,4.6,30,2.465,94226,241239,39.05919026359751,487128,604242,80.618030524193955,-1.6077659206536572,-1.3701577819546555,2.33,21.68,-1.1649043042130711
Peromyscus_maniculatus,Deer mouse,non_vocal_learner,0,NA,0.57,21.65,-0.18280257595652205,8,24,1.83,95707,244630,39.12316559702408,488507,602864,81.0310451445102,-1.5928920464439418,-1.2273358922680566,1.73,19.98,-1.5703112979200966
