name,clean_name,type,factor,estimate,statistic,p.value,fdr,parameter,conf.low,conf.high,method,alternative,sig
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F2,-0.1642252142470636,-3.105748801073408,0.0020538350345748716,0.037995948139635125,348,-0.2645014619183882,-0.060435833824736676,Pearson's product-moment correlation,two.sided,**
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F3,-0.021550562721740208,-0.40211392170181737,0.6878470482097003,0.8775979580606522,348,-0.12609552071009214,0.08346782857460337,Pearson's product-moment correlation,two.sided,
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F4,9.621061138128706e-4,0.017947865132359925,0.9856907298349253,0.9887023656143341,348,-0.10387819641415431,0.10578126293043714,Pearson's product-moment correlation,two.sided,
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F5,0.040249363211997395,0.7514510609464548,0.452889119421621,0.9959664730006237,348,-0.06485410353591259,0.14446962329926502,Pearson's product-moment correlation,two.sided,
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F6,-0.11546301831337132,-2.168437665977221,0.03080243734743191,0.2849225454637452,348,-0.21765831466230606,-0.010763473410456529,Pearson's product-moment correlation,two.sided,*
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric,F7,0.038146139801467034,0.7121253160365397,0.4768643185428424,0.9878586364178354,348,-0.06695141471795166,0.14240650274598013,Pearson's product-moment correlation,two.sided,
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F1,0.14967158803801606,2.8238962978122597,0.005017562748798045,0.09282491085276383,348,0.04555654673211624,0.25056995937109755,Pearson's product-moment correlation,two.sided,*
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F2,0.1381578932435793,2.602257162258141,0.009657064930512636,0.11910380080965584,348,0.03381785387463416,0.2395187525383724,Pearson's product-moment correlation,two.sided,*
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F3,0.16388977334857602,3.099229825077293,0.0020983120026466418,0.03881877204896287,348,0.0600923668001363,0.26418083062272596,Pearson's product-moment correlation,two.sided,**
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F4,0.12339274785548196,2.319588356658202,0.020941388426421622,0.5132150061364483,348,0.018806184731559532,0.22530815834010082,Pearson's product-moment correlation,two.sided,*
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F5,-0.002687783397220616,-0.05014013022793076,0.9600394862779251,0.9988434776434794,348,-0.10748732342497624,0.10217082988348485,Pearson's product-moment correlation,two.sided,
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F6,0.0642251331223038,1.2005830044764363,0.23072957917155046,0.711416202445614,348,-0.04087992518008362,0.16792437274295977,Pearson's product-moment correlation,two.sided,
2022_ssgac_educational_attainment,Educational attainment,Cognitive,F7,0.1106321511612373,2.0765631625906464,0.038575363815703735,0.9878586364178354,348,0.005870407863284538,0.21299179401025756,Pearson's product-moment correlation,two.sided,*
2022_Yengo_height,Height,Other,F1,0.017360758820564624,0.32390957253200037,0.7462010782510131,0.9625205808903161,348,-0.08762854422732529,0.12196861069916955,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F2,0.046862124308169106,0.8751630762102527,0.38208879629455406,0.710068698401255,348,-0.0582538763155641,0.15095039882145436,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F3,-0.05150971829032564,-0.9621786333828546,0.33662796047715793,0.7131757631065817,348,-0.15549988269580886,0.05360958596963612,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F4,0.03851645704727605,0.7190487479706063,0.47259343177308044,0.6753270026029395,348,-0.06658220580057958,0.14276982475409009,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F5,0.03513728106382272,0.6558824894162101,0.5123331259665589,0.9959664730006237,348,-0.06995020160181416,0.13945343902053053,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F6,0.07799312170057394,1.4593882660814688,0.14536032995618484,0.711416202445614,348,-0.027057929719026073,0.1813403080137267,Pearson's product-moment correlation,two.sided,
2022_Yengo_height,Height,Other,F7,-0.07106107466086527,-1.3289868821125947,0.18472297417787817,0.9878586364178354,348,-0.17459032111979583,0.034022193187034006,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F1,-0.06715755239832803,-1.2556426549953965,0.21008796972656107,0.5979426830679047,348,-0.17078503185919572,0.03793937075766506,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F2,-0.021589462572921422,-0.40284009575269375,0.6873132209775484,0.9418736731914553,348,-0.12613381968182777,0.08342918162739865,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F3,-0.10252060636635854,-1.9226276669661901,0.055342773616936625,0.3332501007356971,348,-0.20514568673636896,0.0023343065751072365,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F4,-0.0486064747401871,-0.9078150599429211,0.36460415117720324,0.6242897321514871,348,-0.15265844328694442,0.05651129904189742,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F5,0.05563499950783618,1.0394674122269747,0.2993090651776048,0.9959664730006237,348,-0.04948342371858544,0.1595343875300875,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F6,0.016916951218367646,0.3156267996542257,0.7524749913550264,0.91828657765561,348,-0.08806905617951633,0.12153125320821427,Pearson's product-moment correlation,two.sided,
addiction_Hatoum2023,Addiction,Neuropsychiatric,F7,-0.0017750226464405116,-0.033112670266510526,0.9736037223742794,0.9878586364178354,348,-0.1065850154476478,0.10307398251875868,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F1,-0.12481391015559064,-2.3467242894977347,0.019499460310562444,0.1803700078727026,348,-0.2266778330606173,-0.02024902725033269,Pearson's product-moment correlation,two.sided,*
ADHD-PGC-2019,ADHD,Neuropsychiatric,F2,0.04669201078312217,0.871979205343376,0.3838209180547324,0.710068698401255,348,-0.058423782644028026,0.1507837926801548,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F3,-0.030738711223853046,-0.5736943192369609,0.5665452437324292,0.790076687518607,348,-0.13513309294082562,0.07433063252257587,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F4,0.003284793151915845,0.06127735226592208,0.9511735039602585,0.9887023656143341,348,-0.10158001098667079,0.10807740295644559,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F5,0.020616703954863532,0.3846813880338793,0.7007084638151302,0.9959664730006237,348,-0.08439552112525735,0.12517599354597783,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F6,0.009712121672356721,0.18118582590145715,0.8563271983627417,0.91828657765561,348,-0.095214643904426,0.11442544847377546,Pearson's product-moment correlation,two.sided,
ADHD-PGC-2019,ADHD,Neuropsychiatric,F7,0.037107138007420506,0.692701752089479,0.48895872711760124,0.9878586364178354,348,-0.06798715322785623,0.14138697752372334,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F1,0.012330724747830129,0.23004417684680256,0.8181926035597009,0.9625205808903161,348,-0.09261882255157067,0.11700930092281521,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F2,0.06334241802369832,1.1840151629312368,0.23721514885290848,0.6269257505398296,348,-0.04176473273682898,0.1670629167227518,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F3,-0.18097580226166213,-3.4327428118121786,6.695173740258172e-4,0.024772142838955236,348,-0.2804843732349501,-0.07761852910346696,Pearson's product-moment correlation,two.sided,**
aggression_Ip_2021,Aggression,Personality,F4,-0.053048403526904084,-0.9910005217990344,0.32237386609817364,0.6242897321514871,348,-0.15700511510491774,0.05207099175803959,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F5,-0.05331691025893001,-0.9960307762027899,0.31992724836510406,0.9959664730006237,348,-0.15726773469921523,0.051802449759393056,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F6,0.028658200160359176,0.5348314633806682,0.5931079588048793,0.9126226895349976,348,-0.07640115243052055,0.13308819769655167,Pearson's product-moment correlation,two.sided,
aggression_Ip_2021,Aggression,Personality,F7,-0.03125566739016352,-0.5833519273688345,0.5600342703678443,0.9878586364178354,348,-0.13564106154474115,0.07381601836673174,Pearson's product-moment correlation,two.sided,
agree_BIG5,Agreeableness,Personality,F1,-0.10731458438632975,-2.0135556647069226,0.044825616090474966,0.276424632557929,348,-0.20978438413086692,-0.0025130297494468544,Pearson's product-moment correlation,two.sided,*
agree_BIG5,Agreeableness,Personality,F2,-0.012357276483361152,-0.2305396062822712,0.8178079574059787,0.9682115369898555,348,-0.11703549304347774,0.09259249450690671,Pearson's product-moment correlation,two.sided,
agree_BIG5,Agreeableness,Personality,F3,-0.0010026317582534398,-0.01870386232101183,0.9850880660382981,0.9850880660382981,348,-0.1058213349729355,0.10383810786152917,Pearson's product-moment correlation,two.sided,
agree_BIG5,Agreeableness,Personality,F4,-0.05744821336377846,-1.073455348705236,0.2838106400833151,0.6242897321514871,348,-0.16130660446875725,0.04766868675163908,Pearson's product-moment correlation,two.sided,
agree_BIG5,Agreeableness,Personality,F5,-0.11336368216951244,-2.128493274176783,0.03399826813172305,0.9959664730006237,348,-0.2156309719735696,-0.008636491688738342,Pearson's product-moment correlation,two.sided,*
agree_BIG5,Agreeableness,Personality,F6,-0.008916092370828799,-0.16633415807014576,0.8679905839996035,0.91828657765561,348,-0.11363970211821466,0.09600346506057843,Pearson's product-moment correlation,two.sided,
agree_BIG5,Agreeableness,Personality,F7,-0.029841583878578316,-0.5569355651582316,0.5779294495270908,0.9878586364178354,348,-0.13425143237051276,0.07522356273414375,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F1,-0.1035553341270156,-1.9422417948539084,0.052914351209529774,0.27969014210751453,348,-0.20614728919314568,0.0012884788382398447,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F2,-0.005230555635792854,-0.09757608493376495,0.9223250892200949,0.9698849505714362,348,-0.11000006623507258,0.09965391206289255,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F3,-0.029950437057813445,-0.5589689203119234,0.5765424476487132,0.790076687518607,348,-0.1343584176968925,0.0751152277963753,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F4,-0.016873843393971657,-0.3148222891653833,0.7530852637000621,0.8423536949671782,348,-0.12148876973007784,0.08811184170365159,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F5,0.08789308210846766,1.6459943250775189,0.10066771788249515,0.9959664730006237,348,-0.0170942467856327,0.1909634059743338,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F6,-0.003407988901377309,-0.06357557778052877,0.9493446797955023,0.9493446797955023,348,-0.10819915943209221,0.10145808354163259,Pearson's product-moment correlation,two.sided,
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric,F7,-0.02990660826548085,-0.558150205033899,0.5771007239752578,0.9878586364178354,348,-0.13431534127209194,0.07515884822152945,Pearson's product-moment correlation,two.sided,
broad_antisocial_behavior,Antisocial behavior,Personality,F1,-0.050132700418612404,-0.9363908495812926,0.3497213448019586,0.924263554119462,348,-0.15415239322683943,0.05498609929246966,Pearson's product-moment correlation,two.sided,
broad_antisocial_behavior,Antisocial behavior,Personality,F2,0.11227900596024286,2.1078663245548714,0.03575725835881545,0.2205030932126953,348,0.007537902857174507,0.21458314748161922,Pearson's product-moment correlation,two.sided,*
broad_antisocial_behavior,Antisocial behavior,Personality,F3,-0.11036917039143912,-2.07156607523361,0.03904233829761242,0.3332501007356971,348,-0.2127376257685499,-0.005604185064043243,Pearson's product-moment correlation,two.sided,*
broad_antisocial_behavior,Antisocial behavior,Personality,F4,-0.06437345409959955,-1.2033671446996799,0.22965225393484592,0.6242897321514871,348,-0.1680691060567571,0.040731236432734595,Pearson's product-moment correlation,two.sided,
broad_antisocial_behavior,Antisocial behavior,Personality,F5,-0.048587889280738136,-0.9074671208361967,0.3647877799363666,0.9959664730006237,348,-0.1526402479308571,0.05652986898505254,Pearson's product-moment correlation,two.sided,
broad_antisocial_behavior,Antisocial behavior,Personality,F6,0.03584808290677512,0.6691674219457573,0.5038323706295031,0.9111620124797032,348,-0.06924195040317625,0.14015122748389575,Pearson's product-moment correlation,two.sided,
broad_antisocial_behavior,Antisocial behavior,Personality,F7,-0.053996775384940236,-1.0087684656030258,0.3137865688292242,0.9878586364178354,348,-0.15793262772263703,0.051122427353202396,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F1,-0.07097970103561123,-1.3274573189859569,0.18522761190066253,0.5979426830679047,348,-0.17451102682898093,0.03410388443736415,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F2,-0.006760984136379847,-0.12612740635585282,0.8997039105639082,0.9698849505714362,348,-0.11151177549606348,0.09813839736786381,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F3,-0.05511194701034915,-1.0296649438377579,0.3038824200509507,0.7131757631065817,348,-0.15902303680799246,0.0500067866298362,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F4,-0.054766053142260414,-1.023183053079698,0.30693203046899803,0.6242897321514871,348,-0.1586848506799691,0.050352854065370364,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F5,0.0022636519222197704,0.04222798723636994,0.9663411694583206,0.9988434776434794,348,-0.1025905182683099,0.10706807049940568,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F6,-0.02685061630579582,-0.5010724102329679,0.6166369523885119,0.9126226895349976,348,-0.131310835374063,0.0781993205153995,Pearson's product-moment correlation,two.sided,
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric,F7,0.06458856419826467,1.2074051290853929,0.22809614646532617,0.9878586364178354,348,-0.04051558468502086,0.1682790050192306,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F1,-0.022559191021792376,-0.4209433778553916,0.6740562737266093,0.9625205808903161,348,-0.12708846818717456,0.08246565567468413,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F2,0.026551157894946623,0.4954801065754661,0.6205739902775319,0.9087925823186654,348,-0.07849715305281266,0.13101631883922932,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F3,-0.04288886943104467,-0.8008183584163076,0.42378320047073526,0.7616439318157506,348,-0.14705751965472813,0.06222070252387598,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F4,-0.05935494010717139,-1.109207648239779,0.26810654453563826,0.6242897321514871,348,-0.16316949771772338,0.045759609513341355,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F5,0.036517803208835485,0.6816854678770429,0.4958912698069218,0.9959664730006237,348,-0.06857453638307802,0.1408085917437891,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F6,0.014767413477202318,0.2755125693176492,0.7830859894385189,0.91828657765561,348,-0.09020205083638319,0.11941238094579937,Pearson's product-moment correlation,two.sided,
childhood_trauma_PGC2020,Childhood trauma,Other,F7,-0.07292058005163754,-1.3639469486116653,0.17346578738472535,0.9878586364178354,348,-0.17640194482781074,0.032155046861235055,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F1,0.06819985875874829,1.2752209917153199,0.20308169739492796,0.5979426830679047,348,-0.03689373418228628,0.1718014109486612,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F2,-0.04092166694709777,-0.7640237767837446,0.4453707759397382,0.7847008909414435,348,-0.1451289169336736,0.06418349376550163,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F3,-0.06845006075488459,-1.2799213248744268,0.2014253771118941,0.7114292454964377,348,-0.17204535637215987,0.036642698524858124,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F4,-0.02323342255959841,-0.43353090186198606,0.6648977319277408,0.7930268835582603,348,-0.12775210085184227,0.08179562086728472,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F5,-0.07008470627138873,-1.310636039127628,0.19084504935990151,0.9959664730006237,348,-0.17363881318893634,0.03500227998491773,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F6,-0.034543533153322904,-0.6447860672564969,0.5194906477480397,0.9111620124797032,348,-0.13887048203878866,0.07054173770372471,Pearson's product-moment correlation,two.sided,
consc_BIG5,Conscientiousness,Personality,F7,0.004395261621975139,0.08199333436206643,0.9346991521283782,0.9878586364178354,348,-0.10048086102934213,0.10917478448918172,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F1,-0.10873833117037872,-2.0405871146292425,0.04204619966689809,0.276424632557929,348,-0.21116112684103305,-0.00395357238071111,Pearson's product-moment correlation,two.sided,*
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F2,-0.08644064254142726,-1.618587646434098,0.10644193293965531,0.49229393984590586,348,-0.18955282436827048,0.018557341516997044,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F3,-0.013810008645604747,-0.257646940640115,0.7968316847981635,0.9241178014282394,348,-0.11846832759463931,0.09115177749693706,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F4,0.047559024596827947,0.8882071687707571,0.3750428140790436,0.6242897321514871,348,-0.05755776126418761,0.15163286876243307,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F5,-0.020539042463429556,-0.3832317109972575,0.7017819629200328,0.9959664730006237,348,-0.1250995158069696,0.08447266162398268,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F6,-0.04340031202472695,-0.8103858984945029,0.4182722435507199,0.8609416314968369,348,-0.1475587972061726,0.061710273586630886,Pearson's product-moment correlation,two.sided,
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric,F7,0.0028761815624085054,0.05365469324372661,0.9572410678643208,0.9878586364178354,348,-0.10198439335391268,0.10767354259587153,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F1,-0.002520776124832058,-0.04702461825336163,0.9625205808903161,0.9625205808903161,348,-0.1073222415933437,0.102336092087039,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F2,-0.0037902470045284445,-0.07070664891884842,0.9436718437992353,0.9698849505714362,348,-0.10857693167248722,0.1010797407446124,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F3,0.040991587951658845,0.765331425093813,0.44459293982268955,0.7616439318157506,348,-0.06411374348676048,0.1451974795481018,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F4,-0.10354821415456336,-1.9421068081331059,0.05293075322023326,0.5132150061364483,348,-0.20614039789071775,0.001295675973470193,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F5,0.033325280441334613,0.6220205414238336,0.5343356654841931,0.9959664730006237,348,-0.07175522086867465,0.1376741437555165,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F6,0.07326786893168852,1.3704778080687139,0.17142115461611823,0.711416202445614,348,-0.031806249633109455,0.17674021345201268,Pearson's product-moment correlation,two.sided,
depression-PGC-2019,Depression,Neuropsychiatric,F7,-0.007243012494555188,-0.13512019037812714,0.8925949657560267,0.9878586364178354,348,-0.11198780761498096,0.09766096552978533,Pearson's product-moment correlation,two.sided,
epilepsy,Epilepsy,Neuropsychiatric,F1,-0.0030116874220182783,-0.05618255514496946,0.9552286206844203,0.9625205808903161,348,-0.10780747666186909,0.10185029385110463,Pearson's product-moment correlation,two.sided,
epilepsy,Epilepsy,Neuropsychiatric,F2,0.058934394673749994,1.1013211292903835,0.2715180663233186,0.6697445635975192,348,-0.046180739377106414,0.16275868376894814,Pearson's product-moment correlation,two.sided,
epilepsy,Epilepsy,Neuropsychiatric,F3,-0.04844258614460776,-0.9047469277326237,0.3662253918655419,0.7131757631065817,348,-0.1524979922334631,0.05667504830610114,Pearson's product-moment correlation,two.sided,
epilepsy,Epilepsy,Neuropsychiatric,F4,-0.050748194408518535,-0.9479167004149845,0.34382963321101523,0.6242897321514871,348,-0.15475473655539934,0.05437088020365643,Pearson's product-moment correlation,two.sided,
