y,x,beta,std.error,iter,chi_square,p.value
core_language_F1,HAQER_TFBS_selection,0.031658759958943475,0.010164570679376829,3,790.555011630096,1.4651429805612182e-5
core_language_F1,HAR_TFBS_selection,0.024110136627457156,0.04462851945204381,2,14.772834419818945,1
core_language_F1,RAND_TFBS_selection,-0.03494749678529464,0.028782614948395308,2,19.619259255134764,1
