TF_family,log2_OR,ci_lower,ci_upper,p
Homeobox domain,3.533455311921998,2.9009910638773317,4.187802163815069,2.5768988023571975e-34
Fork head domain,2.864683088412549,1.4546591164471334,4.501605743941331,5.267261719606721e-6
Other,-1.087404511075067,-1.6265603218869629,-0.5588906894852994,2.3869831222904453e-5
"Myc-type, basic helix-loop-helix (bHLH) domain",-2.3489352453039323,-3.878546663285105,-1.1053603720007226,1.4766618758802156e-5
Ets domain,-2.687161375512879,-5.819315792200225,-0.6652933996153003,0.0029756232420017144
Zinc finger C2H2 superfamily,-2.87591103121241,-4.157207665536037,-1.8007768352592626,6.869066832485117e-11
